,Colorectal male,,,Colorectal female,,,Lung male,,,Lung female,,,Breast cancer female,,,Prostate male,
grid,Expected LE(years),LLE(years),,Expected LE (years),LLE (years),,Expected LE (years),LLE (years),,Expected LE (years),LLE (years),,Expected LE (years),LLE (years),,Expected LE (years),LLE (years)
34,19.73321985,4.096173563,,22.59504853,3.608488405,,19.64850958,9.822628584,,22.70166713,10.38601145,,22.76437282,2.518758264,,19.75581188,1.427952235
35,18.95677223,3.936030806,,21.92667887,3.50795346,,18.89974721,9.922876559,,21.90282021,9.905679585,,22.04978141,2.353986411,,19.10047709,1.193124713
36,21.37082988,4.287434541,,23.51876847,3.585443677,,21.50758641,10.09355307,,23.51876847,8.949819828,,23.53168269,2.508330632,,21.48178475,1.4461856
37,22.27530667,4.555933763,,24.55644934,3.826085738,,22.26861413,9.966693874,,24.57849175,9.410542086,,24.59028165,2.707344418,,22.54434591,1.687796462
38,21.168118,4.479433428,,23.53741971,3.770636973,,21.16196796,11.35393938,,23.5316431,10.54431891,,23.61379248,2.60070459,,21.55467357,1.948976677
39,18.65672356,3.84385662,,21.82970654,3.39635475,,18.74728254,9.923433047,,21.92708684,10.14775498,,22.07276625,2.401042969,,18.73194276,1.204657302
40,22.17916513,4.898820842,,25.41884187,4.498844988,,22.30271051,13.01161844,,25.32513067,11.96221767,,25.41387797,2.974122101,,22.51619032,2.417582768
41,19.1251255,4.12682937,,21.83298006,3.777016598,,19.13855628,10.71160967,,21.7853441,10.51852628,,21.87946141,2.305896711,,19.08877933,1.362793883
42,19.34658393,4.135636234,,22.15587664,3.850022327,,19.38522216,10.23991282,,22.10657591,9.556948098,,22.44891913,2.481734873,,19.56996443,1.312312068
43,18.71309016,3.747245513,,21.82680488,3.504963552,,18.81673181,9.416938559,,21.86296554,9.567678839,,21.88377763,2.301936328,,18.95863783,1.07776309
44,19.2691221,4.028561117,,22.46877267,3.818366798,,19.66112854,11.35725455,,22.35196142,10.44227719,,22.47204211,2.541256284,,19.55544495,1.326012647
45,20.56077642,4.456444687,,23.19671574,3.888801934,,20.58300131,11.14784093,,23.33020837,11.6571304,,23.50966189,2.712075153,,20.58604832,1.530591877
46,20.43435565,4.453106181,,23.4536912,3.977108429,,20.49882531,11.31498078,,23.58194984,11.54818924,,23.54823475,2.814002445,,20.4685378,1.460761886
47,20.69317332,4.509873934,,23.41464728,3.701435357,,20.69954131,11.06042353,,23.43898744,11.14779725,,23.5424005,2.74910682,,21.05811423,1.992538556
48,20.68409838,4.409351125,,23.37048173,3.521398582,,20.65145736,11.25887254,,23.40947169,10.77048989,,23.32278168,2.603230104,,20.67231448,1.705502356
49,21.77178893,4.808356733,,24.5415446,3.873130446,,21.62148412,11.98601575,,24.44413762,11.34939241,,24.57576052,2.997752378,,22.26420221,2.316407361
50,21.169607,4.562476478,,23.65049899,3.809871009,,21.05072154,11.07415736,,23.45556191,10.35038862,,23.70228351,2.801105182,,21.42729215,1.864994417
51,22.0505481,4.98415769,,24.15722274,3.992840768,,21.88933396,12.35111797,,24.32780351,13.21685715,,24.23952712,2.813364257,,22.17865688,2.227554788
52,20.96539653,4.518346628,,24.70706807,4.152177499,,21.28103418,12.83734335,,24.61511162,12.18301278,,24.98714172,3.049876228,,21.45055204,2.211512023
53,21.05842799,4.765864586,,23.84269011,3.833335451,,20.91235093,11.71608516,,24.01713306,12.84293587,,23.97213242,2.817543432,,21.12877207,2.120127628
54,20.38091362,4.273040978,,22.55735381,3.562229168,,20.7190184,11.15560564,,22.61218702,10.10495747,,22.78136226,2.565049996,,20.81907146,1.724878252
55,20.53262854,4.459465759,,23.58417887,3.742272688,,20.65243019,11.45745626,,23.57676916,11.60266295,,23.55597534,2.696871513,,20.83228717,1.818713749
56,20.50004425,4.344186832,,23.76533582,3.816140007,,20.94996355,11.94817741,,23.7485448,11.72162998,,23.95574027,2.898545111,,21.09882228,1.975151733
57,20.17055119,4.193342024,,23.38971982,3.67012523,,20.24274513,10.8607375,,23.40002201,10.97219862,,23.5419803,2.762688073,,20.36010625,1.677426135
58,20.55144247,4.287572808,,23.3712142,3.709268737,,20.85902131,11.07412213,,23.42952217,11.07648099,,23.46074473,2.660993107,,21.09408473,1.814491627
59,20.47038686,4.358305707,,23.53623984,3.944880342,,20.35258938,10.73669006,,23.47830711,11.82417877,,23.45894962,2.693589819,,20.8049914,1.946494617
60,22.41521226,4.983637958,,23.88276127,4.001888308,,22.56311647,13.2532536,,24.00035648,12.61313057,,24.06436284,2.766443287,,22.78160054,2.515596988
61,21.37909314,4.490306704,,23.85986114,3.867004333,,21.47064018,10.8079982,,23.96980804,12.0188581,,23.93404976,2.856206703,,21.78546708,1.954696839
62,21.92392781,4.852876463,,24.34518479,4.021898009,,21.68892345,11.62993008,,24.26952992,11.79915947,,24.42818796,2.983563944,,22.17046385,2.193122438
63,21.31278431,4.714747254,,24.06399803,3.874362806,,21.43387975,12.9065803,,24.16698324,13.1853036,,24.0823565,3.023356084,,21.382447,2.053197734
64,22.83571793,5.027984575,,24.53380413,4.060184809,,22.65413413,11.42912905,,24.63452884,11.5513484,,24.87222179,3.074819782,,23.23308012,2.552395699
65,21.11940553,4.522538926,,23.31651921,3.705324519,,21.11385206,11.57000295,,23.45930576,12.1966946,,23.42318181,2.780486618,,21.20430705,2.014900843
66,21.38085041,4.713395883,,23.50386617,3.796310371,,21.42751592,11.53537632,,23.47561056,11.65094201,,23.80232979,2.824406223,,21.50082266,1.824177336
67,21.21245041,4.444886978,,24.1066228,3.861016408,,21.34463527,10.91581414,,24.29337817,12.38318626,,24.20600405,2.939579568,,21.74565719,1.982898545
68,20.57354012,4.540760989,,23.71914448,3.797314904,,20.69295466,12.02033017,,23.93358694,12.49467609,,24.08941215,2.963852984,,20.87272981,1.971250411
69,22.69078293,4.953189393,,25.91716007,4.225706385,,22.77900317,11.84911482,,25.91115279,12.34513704,,26.01167759,3.29553719,,23.22098966,2.320117739
70,20.73888445,4.36894701,,24.08160101,3.857037585,,20.68997252,10.48176332,,24.00083603,11.25380456,,24.14702473,2.937093518,,21.07573309,1.972852039
71,20.38058236,4.347037512,,24.02490276,3.804211405,,20.48169397,11.30985538,,24.21907943,12.51632924,,24.44513555,2.911365504,,20.65088608,1.854670904
72,20.11898392,4.296682755,,21.71062885,3.662135763,,19.98766256,10.07223034,,21.78594794,11.24332913,,21.76982996,2.360093441,,20.1785406,1.540547771
73,20.12349089,4.347451773,,21.87954666,3.805415163,,20.05795296,11.30538159,,21.94469055,12.11862747,,22.04162931,2.431247032,,20.25837905,1.597169884
74,19.76816571,3.988105744,,21.74866147,3.5294423,,19.54029079,9.041616763,,21.78713161,9.802302736,,21.78991107,2.432588028,,20.09678015,1.437411496
75,19.39944991,4.071275595,,21.32519156,3.626575301,,19.36987576,10.40849464,,21.25368014,10.64157599,,21.397885,2.444855935,,19.57338895,1.380991694
76,20.63259091,4.49437505,,22.9369683,3.874179721,,20.88155723,12.42608482,,23.01502651,13.10852884,,22.94715781,2.678526935,,20.93278531,1.793167643
77,21.09678608,4.490442827,,23.13265364,3.946308703,,21.00061416,10.54537121,,22.78350883,10.28695031,,23.29503277,2.663494265,,21.6289872,1.922324886
78,21.73812969,4.785711715,,23.14741668,3.88952449,,21.94605273,13.10418495,,23.14107287,11.28875144,,23.33266624,2.625110057,,21.96190366,1.938994518
79,22.00356194,4.758285483,,23.56499198,3.881948639,,22.01301972,11.94914457,,23.69231463,12.00153874,,23.69801101,2.813780538,,22.35382316,2.151425873
80,21.30478662,4.795648625,,23.01167147,3.933047607,,21.39587605,12.941782,,23.0086139,12.90494864,,23.14229625,2.608399172,,21.34635018,1.915606021
81,21.31374875,4.523641125,,21.89698381,3.613652571,,21.11032564,10.6036898,,21.96028433,10.5209813,,22.1460948,2.496590016,,21.53885286,1.902051103
82,21.11959208,4.506164052,,21.91970181,3.637000583,,21.02946279,11.05761339,,21.92365455,9.982175391,,22.11144339,2.540629305,,21.38826627,1.774936927
83,24.6194794,5.627421908,,28.08423856,5.214654712,,24.61235389,13.28956786,,27.80415627,12.83239245,,28.31036674,4.19485839,,25.25757427,3.443011535
84,20.44321319,4.325698245,,21.5527891,3.545444216,,20.51163075,11.16652079,,21.55785488,10.78957999,,21.56090215,2.384132822,,20.99629933,1.726442891
85,23.69788187,5.20924314,,24.96679457,4.28747663,,23.51395384,11.85121083,,24.95134753,11.93885097,,25.24239295,3.16390176,,24.33364223,2.897507455
86,20.85419671,4.613851027,,22.93340104,4.131493567,,20.59629472,10.79940969,,22.93667355,12.04023404,,23.0668443,2.961766671,,21.03691793,1.971353535
87,21.69342462,4.676629262,,23.45730757,3.870222223,,21.55419687,10.82193137,,23.30860699,9.834399053,,23.7224875,2.595956239,,21.91805421,1.810151012
88,21.90249922,4.651724345,,24.03854022,3.712362652,,21.85806884,11.35337725,,23.88040789,10.39591461,,24.18965686,2.652364755,,22.25710754,1.873492399
89,22.67288991,4.782123506,,26.16402164,4.161053525,,22.76808994,11.09650022,,26.11259539,10.95207919,,26.30727734,3.075764964,,23.01072678,1.93910647
90,21.82368044,4.781237586,,23.96327673,3.848513876,,21.68172301,10.57033539,,23.83295887,11.02167194,,23.97187441,2.628347495,,22.02745255,1.651476897
91,21.89210319,4.645882484,,23.53295772,4.005337155,,21.9441937,10.92257244,,23.53224473,10.93516468,,23.65205577,2.770447628,,22.72901823,2.069305347
92,20.38849404,4.211917874,,23.56517305,3.879914678,,20.55530887,10.63048872,,23.49967728,11.11190972,,23.71213693,2.826333315,,20.74922624,1.75447361
93,19.98599615,4.161327288,,21.7778048,3.508022236,,20.02149009,9.961909085,,21.67387963,10.11753992,,21.75628942,2.378994561,,20.61597697,1.878243195
94,23.61152712,5.26679899,,28.30581916,4.776450992,,23.31335001,11.37275326,,28.25944014,13.10276237,,28.61840248,3.642147324,,23.85334782,2.522716801
95,20.38893364,4.315566697,,22.43456127,3.590308021,,19.94777478,9.599781074,,22.40375515,10.47517453,,22.71492289,2.595432415,,20.51017659,1.816552767
96,23.9923317,5.260059047,,29.9282557,4.877695362,,23.72821215,11.01016272,,29.76582701,13.03733525,,30.16504974,3.849426074,,24.51851219,2.436258632
97,22.93132979,4.966011936,,29.44918927,4.942896252,,22.64439878,10.41548321,,29.22469477,12.84790941,,29.8575106,3.970367338,,23.32782903,2.13009503
98,22.01756281,4.714995347,,25.34419364,4.158483398,,21.98891826,11.69217967,,25.34865178,11.64436785,,25.23804013,2.8619376,,22.48575738,2.197219689
99,20.96165065,4.113361321,,22.52564393,3.505708117,,20.96165065,9.042119707,,22.52564393,8.773039503,,22.52564393,2.327675144,,20.96165065,1.127674618
100,21.1985371,4.543513041,,23.55907458,3.738478697,,21.32553404,11.45548352,,23.67691561,11.26712588,,23.61672698,2.581405571,,21.38517505,1.797513209
101,21.45638023,4.543340347,,24.2152066,3.860476043,,21.47218624,10.88201348,,24.19117649,10.91890869,,24.44338741,2.672417631,,21.73530301,2.091607604
103,21.28865275,4.595437957,,23.71393349,3.961353136,,21.44615967,12.35069451,,23.66309091,11.03358956,,23.68101539,2.530319472,,21.52387795,1.867917238
104,21.60575964,4.672724469,,23.57711839,3.959149959,,21.62431093,11.17719051,,23.52874612,10.36087116,,23.9243617,2.529223799,,21.9503677,1.955338329
105,21.51137388,4.549770553,,23.36245994,3.510117556,,21.40043605,10.56059364,,23.3220096,9.802440284,,23.7992024,2.484443205,,22.16461252,1.867680536
